respondent_id,survey_year,survey_month,gender,birth_year_tw,birth_month,residence,housing_type,school_type,course_difficulty,school_rules_schedule,sleepover_friends,curfew_time,dress_appearance,daily_routine,internet_time,relationship_status,money_usage,job_choice,father_health,talk_to_father,mother_health,talk_to_mother,life_happiness,life_quality,internet_addiction_1,internet_addiction_2,internet_addiction_3,internet_addiction_4,internet_addiction_5,edu_rank_combined,internet_use_combined_ten,internet_use_combined
3021171,2018,2,1,87,1,241,2,12,NA,NA,2,2,1,1,1,1,1,1,2,5,1,1,6,6,NA,NA,NA,NA,NA,NA,8,4
3021172,2018,2,2,87,1,241,5,12,NA,NA,4,3,1,3,3,3,3,1,2,5,2,3,3,5,NA,NA,NA,NA,NA,NA,6,3
3021183,2018,4,2,85,4,99,7,10,NA,NA,2,2,1,3,3,2,3,2,2,4,2,2,3,6,NA,NA,NA,NA,NA,NA,NA,NA
3021282,2018,2,2,85,7,220,7,12,NA,NA,3,3,3,3,3,3,3,3,1,4,3,4,5,5,NA,NA,NA,NA,NA,NA,9,5
3030313,2018,3,1,83,7,108,4,12,NA,NA,2,2,2,2,2,2,2,2,3,4,3,4,7,7,NA,NA,NA,NA,NA,NA,NA,NA
3031082,2018,3,2,84,4,235,7,8,NA,NA,2,3,1,3,1,2,1,2,4,5,NA,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA
3031191,2018,4,2,84,8,99,8,13,NA,NA,2,1,1,2,1,1,1,1,2,4,4,2,6,6,NA,NA,NA,NA,NA,NA,6,3
3031192,2018,3,2,86,11,231,8,13,NA,NA,3,2,1,3,1,2,3,1,1,3,4,2,5,5,NA,NA,NA,NA,NA,NA,5,3
3031231,2018,3,2,83,5,235,7,12,NA,NA,2,2,1,3,2,2,2,1,3,5,3,2,6,5,NA,NA,NA,NA,NA,NA,NA,NA
3031232,2018,2,2,85,5,100,7,12,NA,NA,3,3,1,2,2,2,2,2,3,5,3,2,4,4,NA,NA,NA,NA,NA,NA,5,3
3031361,2018,2,2,87,8,235,7,13,NA,NA,3,3,3,3,2,3,2,3,3,4,2,4,3,4,NA,NA,NA,NA,NA,NA,3,2
3031362,2018,2,2,89,11,235,7,5,2,1,NA,3,3,3,3,NA,3,2,2,3,2,2,5,4,NA,NA,NA,NA,NA,2,3,2
3031421,2018,3,2,84,6,235,7,12,NA,NA,3,3,1,1,1,2,2,2,2,3,3,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA
3031451,2018,3,2,89,2,235,7,6,1,1,3,2,2,3,3,4,3,2,2,3,3,2,7,7,NA,NA,NA,NA,NA,4,5,3
3040153,2018,2,1,84,2,220,8,13,NA,NA,2,2,1,2,2,1,2,3,6,NA,3,5,5,6,NA,NA,NA,NA,NA,NA,9,5
3040263,2018,3,1,83,3,220,8,12,NA,NA,2,2,1,2,1,1,2,2,3,4,3,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA
3041141,2018,2,1,84,8,235,7,13,NA,NA,2,2,3,2,2,2,1,2,2,4,2,4,6,7,NA,NA,NA,NA,NA,NA,NA,NA
3041142,2018,2,1,88,4,235,7,8,NA,NA,2,3,3,2,2,2,3,3,2,5,3,4,6,6,NA,NA,NA,NA,NA,NA,NA,NA
